"Configuration","Настройки"
"Gateway settings","Настройки шлюза"
"AlphaSMS Username","Логин AlphaSMS"
"AlphaSMS Password","Пароль AlphaSMS"
"Sender AlphaName","Альфа-имя отправителя"
"Admin Phone Number","Номер мобильного Администратора"
"Messages templates and Events","Шаблоны сообщений и События"
"Send SMS to admin on New Order","Отправить SMS Администратору при новом заказе"
"New Order Notification Message","Уведомление о новом заказе"
"Send SMS to customer on status change to SHIPPED","Отправить SMS заказчику при смене статуса"
"Status Change Notification Message","Уведомление при смене статуса"